Status settings, Statuseinstellungen
Extended settings, Erweiterte Einstellungen 
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Bitte richten Sie im Anbietermenü der Sofort GmbH ein Projekt ein (Bitte achten Sie darauf ein 'Gateway-Projekt' anzulegen). Sie benötigen im nächsten Schritt lediglich Ihren Konfigurationsschlüssel"
Project set-up, Einrichtung eines Projekts
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Um Sofort anbieten zu können, benötigen Sie einen Kundenaccount bei Sofort GmbH. Sie sind noch kein Kunde? <a href='https://www.sofort.com/payment/users/register/'>Registrieren Sie sich jetzt!</a>"
Registration, Registrierung
"Just a few steps are required to use SOFORT Banking:", "Um Sofort nutzen zu können sind einige Schritte notwendig"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>",Mit dem TÜV Saarland zertifizierten Bezahlsystem "Sofort" zahlst du sicher und bequem per Direkt-Überweisungsverfahren mit deinen gewohnten Online Banking Daten (PIN/TAN) und ohne Registrierung. Der Händler erhält nach Abschluss der Überweisung eine Echtzeitbestätigung. So kann er Lagerware und digitale Güter sofort versenden - Du erhältst so Deine Einkäufe schneller. <a href='http://www.klarna.com/sofort/' target='_blank'>Mehr hier.</a>
"Payment system with data protection certified by TÜV Saarland", "Einfach und direkt bezahlen per Online Banking."
Send receipt emails, Beleg E-Mails senden
SOFORT Banking, "Sofort"
Sofort., "Sofort"
About SOFORT Banking,Über Sofort
Module configuration,Modulkonfiguration
Settings,Basiseinstellungen
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Einfach das Modul aktivieren und Konfigurationsschlüssel eintragen. Sofort ist damit sofort in Ihrem Checkout verfügbar. Weitere Einstellungen sind nicht notwendig.
Activate SOFORT Banking in your shop,Aktivieren Sie Sofort in Ihrem Shop
Use the main website setting,Main Website-Einstellung verwenden
Configuration key:,Konfigurationsschlüssel
Sort sequence:,Anzeigereihenfolge
Show only for specific countries:,Nur für bestimmte Ländern anzeigen
Reference settings,Verwendungszweckeinstellungen
Reference:,Verwendungszweck
Reference 2:,Verwendungszweck 2
"reference1","Folgende Platzhalter sind erlaubt:<br/><ul><li>Bestellnummer:  {{order_id}}</li><li>Kundenname: {{name}}</li><li>Datum: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li><li>Customer ID: {{customer_id}}</li><li>Customer Email: {{customer_email}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.","Bitte nehmen Sie nur Anpassungen an diesen Einstellungen vor, wenn Sie mit der Statusbehandlung von Magento vertraut sind, da dies unvorhersehbare Auswirkungen auf Ihren Shop haben kann und andere Module möglicherweiße nicht mehr ordnungsgemäß funktionieren. Weitere Informationen finden Sie in unserem Handbuch."
Temporary order status:,Temporärer Bestellstatus
Define the status for orders which have not been paid yet.,"(Definieren Sie den Status für Bestellungen, die noch nicht bezahlt wurden.)"
Aborted order status:,Abgebrochener Bestellstatus
Confirmed order status:,Bestätigter Bestellstatus
Define the status for orders which have been successfully completed by SOFORT Banking.,"(Definieren Sie den Status für Bestellungen, die mit Sofort erfolgreich abgeschlossen wurden.)"
Not create invoice,Keine Rechnung erstellen
(not recommended),(nicht empfohlen)
Not update status,Keine Statusaktualisierung durchführen
Order status for full refunds:,Bestellstatus für vollständige Erstattungen
