Status settings, Configuration du statut
Extended settings, Configuration avancée
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Veuillez créer un projet dans le menu commerçant de Sofort GmbH (veillez bien à créer un  'Projet Gateway' ). À l'étape suivant, il ne vous reste plus qu'à utiliser votre clé de configuration."
Project set-up, Création d'un projet
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Vous avez besoin d'un compte client auprès de Sofort GmbH pour pouvoir proposer Virement Bancaire. Vous ne proposez pas encore Virement Bancaire. à vos clients ? <a href='https://www.sofort.com/payment/users/register/'>Enregistrez-vous dès maintenant !</a>"
Registration, Enregistrement
"Just a few steps are required to use SOFORT Banking:", "Avant de pouvoir utiliser Virement Bancaire, quelques étapes sont nécessaires"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "Le paiement via ""Virement bancaire"" te permet de faire un transfert en ligne du montant défini au cours du processus de commande, à travers ton compte bancaire en ligne, de façon simple, rapide et sécurisé et sans enregistrement. La boutique en ligne peut traiter et livrer ta commande plus rapidement grâce à notre confirmation de la transaction en temps réel. <a href='http://www.klarna.com/sofort/' target='_blank'>En savoir plus ici.</a>"
"Payment system with data protection certified by TÜV Saarland", Simple et securisé.
Send receipt emails, Envoyer les e-mails de confirmation
SOFORT Banking, Virement Bancaire
Sofort., Virement Bancaire
About SOFORT Banking,À propos de Virement Bancaire
Module configuration,Configuration du module
Settings,Configurations de base
Activate the module and enter the configuration key. SOFORT will be immediately available in your checkout. Additional settings are not required.,Activez tout simplement le module et saisissez votre clé de configuration. Virement Bancaire est alors immédiatement disponible dans votre sortie de caisse. Vous n'avez plus besoin d'effectuer d'autres réglages.
Activate SOFORT Banking in your shop,Activez Virement Bancaire dans votre système de vente
Use the main website setting,Utiliser le réglage principal du site
Configuration key:,Clé de configuration
Sort sequence:,Séquence d'affichage
Show only for specific countries:,Afficher uniquement pour certains pays :
Reference settings,Configurations de la référence de paiement
Reference:,Référence de paiement
Reference 2:,Référence de paiement 2
"reference1","Caractères de remplacement autorisés :<br/><ul><li>Numéro de commande: {{order_id}}</li><li>Le client: {{name}}</li><li>Date de la facture: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li><li>Customer ID: {{customer_id}}</li><li>Customer Email: {{customer_email}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.","Veuillez ne modifier les configurations que si vous avez l'habitude de traiter les statuts avec Magento. Dans le cas contraire, ces modifications risquent d'avoir un effet imprévu sur votre système de vente et les autres modules, et le cas échéant, de ne plus fonctionner correctement. Vous trouverez de plus amples informations dans notre manuel."
Temporary order status:,État de commande temporaire
Define the status for orders which have not been paid yet.,(Définissez l'état pour commandes qui n'ont pas encore été payées.)
Aborted order status:,État de commande annulé
Confirmed order status:,État de commande confirmé
Define the status for orders which have been successfully completed by SOFORT Banking.,(Définissez l'état pour commandes qui ont été complétées avec succès par Virement Bancaire.)
Not create invoice,Ne pas émettre de facture
(not recommended),(non recommandé)
Not update status,Ne pas effectuer de mise à jour de l'état
Order status for full refunds:,État de commande pour les remboursements complets
